player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,primary_position
41734,https://sofifa.com/player/41734/benoit-cheyrou/150002,15.0,2.0,2014-09-18,B. Cheyrou,Benoît Cheyrou,"CDM, CM",74,74,1300000.0,45000.0,33,1981-05-03,182,78,219.0,Olympique de Marseille,16.0,Ligue 1,1.0,SUB,7.0,,2007-07-01,2019.0,18,France,,,,Left,3,2,2,Medium/Medium,Normal (170-185),Yes,,,"Leadership, Long Shot Taker (AI), Playmaker (AI)",51.0,61.0,76.0,70.0,69.0,76.0,72,52,68,76,66,69,75,69,80,76,51,51,61,73,64,75,68,74,77,60,77,73,66,81,76,,62,73,69,15,11,11,5,15,,65,65,65,68,67,67,67,68,71,71,71,71,74,74,74,71,71,74,74,74,71,71,71,71,71,71,15,CDM
41835,https://sofifa.com/player/41835/gael-danic/150002,15.0,2.0,2014-09-18,G. Danic,Gaël Danic,"LM, LW, CAM",71,71,1100000.0,30000.0,32,1981-11-19,176,65,66.0,Olympique Lyonnais,16.0,Ligue 1,1.0,SUB,26.0,,2013-07-01,2015.0,18,France,,,,Left,3,3,1,Medium/Medium,Normal (170-185),No,,,,69.0,66.0,72.0,72.0,34.0,59.0,71,64,56,73,65,70,70,74,70,74,72,67,75,67,76,68,52,68,54,67,64,41,69,71,72,,21,38,23,12,7,13,6,8,,66,66,66,71,68,68,68,71,71,71,71,71,66,66,66,71,55,57,57,57,55,50,44,44,44,50,12,LM
45601,https://sofifa.com/player/45601/florent-malouda/150002,15.0,2.0,2014-09-18,F. Malouda,Florent Malouda,"LM, CAM",77,77,2200000.0,40000.0,34,1980-06-13,181,73,68.0,Metz,16.0,Ligue 1,1.0,LM,13.0,,2014-09-12,2015.0,18,France,,,,Left,3,4,3,Medium/Medium,Normal (170-185),Yes,,,"Diver, Flair, Technical Dribbler (AI)",70.0,76.0,76.0,80.0,30.0,72.0,79,74,51,76,77,82,82,68,73,83,69,71,68,75,68,81,72,60,76,76,75,40,76,75,82,,22,27,25,14,14,8,13,5,,74+1,74+1,74+1,77,76+1,76+1,76+1,77,77,77,77,76+1,70+1,70+1,70+1,76+1,57+1,60+1,60+1,60+1,57+1,51+1,48+1,48+1,48+1,51+1,15+1,LM
45652,https://sofifa.com/player/45652/eugene-ekobo/150002,15.0,2.0,2014-09-18,E. Ekobo,Eugène-Claude Ekobo N'Joh,CDM,64,64,200000.0,3000.0,33,1981-02-15,182,85,1815.0,Clermont,17.0,Ligue 1,2.0,SUB,6.0,,2009-06-01,2015.0,103,Cameroon,,,,Right,3,2,1,Low/High,Stocky (170-185),No,,,"Injury Free, Leadership",50.0,47.0,59.0,53.0,64.0,77.0,54,40,68,66,49,48,46,38,60,60,49,51,58,50,56,61,78,78,83,52,62,62,25,60,47,,64,69,50,14,10,7,10,10,,50,50,50,52,50,50,50,52,53,53,53,55,58,58,58,55,60,64,64,64,60,61,64,64,64,61,13,CDM
49370,https://sofifa.com/player/49370/thiago-motta/150002,15.0,2.0,2014-09-18,T. Motta,Thiago Motta,"CDM, CM",82,82,9500000.0,130000.0,31,1982-08-28,187,83,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,CDM,8.0,,2012-01-01,2016.0,27,Italy,,,,Left,4,3,3,Medium/Medium,Normal (170-185),Yes,,,"Injury Prone, Dives Into Tackles (AI)",50.0,66.0,78.0,73.0,79.0,84.0,66,54,82,84,76,73,67,67,86,83,48,52,50,78,50,82,85,80,85,73,85,84,65,77,70,,72,81,76,10,10,7,5,14,,70+1,70+1,70+1,69+1,72+1,72+1,72+1,69+1,74+1,74+1,74+1,73+1,79+1,79+1,79+1,73+1,76+1,81+1,81+1,81+1,76+1,78+1,80+1,80+1,80+1,78+1,14+1,CDM
49488,https://sofifa.com/player/49488/etienne-didot/150002,15.0,2.0,2014-09-18,É. Didot,Étienne Didot,"CM, CDM",75,75,2900000.0,30000.0,30,1983-07-24,175,65,1809.0,Toulouse,16.0,Ligue 1,1.0,RCM,8.0,,2008-07-01,2017.0,18,France,,,,Right,4,3,1,High/High,Normal (170-185),No,,,Playmaker (AI),57.0,63.0,78.0,73.0,71.0,66.0,72,60,63,81,64,70,68,72,78,76,63,52,72,75,75,65,62,77,58,66,75,72,66,82,64,,72,72,67,6,12,11,11,15,,65,65,65,71,68,68,68,71,73,73,73,73,75,75,75,73,73,75,75,75,73,71,70,70,70,71,15,CM
50294,https://sofifa.com/player/50294/souleymane-camara/150002,15.0,2.0,2014-09-18,S. Camara,Souleymane Camara,"RW, ST, LW",71,71,1400000.0,20000.0,31,1982-12-22,174,72,70.0,Montpellier,16.0,Ligue 1,1.0,SUB,19.0,,2008-07-07,2015.0,136,Senegal,,,,Right,3,2,1,Medium/High,Normal (170-185),No,,,"Long Shot Taker (AI), Team Player",67.0,72.0,67.0,72.0,51.0,61.0,71,70,69,74,73,69,54,53,58,75,69,66,74,70,75,76,68,51,65,73,64,50,69,63,72,,50,50,45,7,10,13,13,9,,71,71,71,71,71,71,71,71,71,71,71,68,65,65,65,68,61,61,61,61,61,59,58,58,58,59,13,RW
51123,https://sofifa.com/player/51123/mathieu-bodmer/150002,15.0,2.0,2014-09-18,M. Bodmer,Mathieu Bodmer,CB,74,74,2300000.0,35000.0,31,1982-11-22,190,90,72.0,Nice,16.0,Ligue 1,1.0,RCB,24.0,,2013-09-11,2015.0,18,France,,,,Right,4,3,2,Medium/Medium,Normal (185+),Yes,,#Strength,"Injury Prone, Flair, Long Passer (AI)",57.0,64.0,69.0,63.0,75.0,78.0,63,53,81,75,63,61,59,74,76,71,50,62,55,74,40,82,48,68,88,72,75,75,53,61,75,,73,77,64,10,9,13,12,14,,66,66,66,63,66,66,66,63,65,65,65,65,70,70,70,65,70,74,74,74,70,72,74,74,74,72,15,CB
51910,https://sofifa.com/player/51910/bruno-grougi/150002,15.0,2.0,2014-09-18,B. Grougi,Bruno Grougi,CAM,69,69,850000.0,10000.0,31,1983-04-26,173,70,378.0,Brest,17.0,Ligue 1,2.0,SUB,6.0,,2009-06-04,2016.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,,68.0,67.0,70.0,67.0,47.0,57.0,63,63,35,72,64,62,69,72,69,69,69,68,76,66,88,73,31,60,57,71,62,64,64,72,70,,39,51,35,7,15,8,6,14,,63,63,63,67,66,66,66,67,69,69,69,67,67,67,67,67,59,62,62,62,59,55,50,50,50,55,14,CAM
52126,https://sofifa.com/player/52126/florent-balmont/150002,15.0,2.0,2014-09-18,F. Balmont,Florent Balmont,CM,76,76,2200000.0,50000.0,34,1980-02-02,168,72,65.0,Lille,16.0,Ligue 1,1.0,RCM,4.0,,2008-01-01,2017.0,18,France,,,,Right,3,2,2,Medium/High,Stocky (170-),Yes,,,,66.0,67.0,78.0,75.0,72.0,74.0,73,63,54,82,67,73,68,70,77,78,64,67,73,76,81,76,53,80,69,70,82,75,64,80,59,,74,74,73,5,10,6,13,15,,68,68,68,73,71,71,71,73,74,74,74,75,76,76,76,75,75,77-1,77-1,77-1,75,74,72,72,72,74,14,CM
53027,https://sofifa.com/player/53027/alaeddine-yahia/150002,15.0,2.0,2014-09-18,A. Yahia,Alaeddine Yahia,CB,69,69,575000.0,9000.0,32,1981-09-26,186,81,64.0,Lens,16.0,Ligue 1,1.0,SUB,5.0,,2009-07-01,2015.0,145,Tunisia,,,,Right,3,2,1,Medium/Medium,Normal (185+),No,,,"Leadership, Power Header",44.0,45.0,54.0,48.0,67.0,71.0,38,39,69,61,53,40,44,49,59,51,34,53,59,70,56,60,80,43,84,46,73,67,30,56,50,,67,68,66,11,14,15,15,9,,50,50,50,46,49,49,49,46,50,50,50,49,55,55,55,49,58,63,63,63,58,62,69,69,69,62,16,CB
53405,https://sofifa.com/player/53405/maxwell-scherer-cabelino-andrade/150002,15.0,2.0,2014-09-18,Maxwell,Maxwell Scherrer Cabelino Andrade,LB,77,77,3100000.0,80000.0,32,1981-08-27,176,73,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,LB,17.0,,2012-01-01,2015.0,54,Brazil,,,,Left,2,3,2,High/Medium,Normal (170-185),Yes,,,"Avoids Using Weaker Foot, Early Crosser",74.0,65.0,77.0,77.0,75.0,71.0,83,64,68,81,64,74,64,51,77,84,73,75,79,78,61,67,72,79,67,65,69,77,74,76,58,,75,77,73,6,5,15,12,5,,71,71,71,77,73,73,73,77,76,76,76,78-1,77,77,77,78-1,78-1,77,77,77,78-1,77,74,74,74,77,12,LB
107305,https://sofifa.com/player/107305/mickael-tacalfred/150002,15.0,2.0,2014-09-18,M. Tacalfred,Mickaël Tacalfred,CB,71,71,700000.0,15000.0,33,1981-04-23,175,69,379.0,Stade de Reims,16.0,Ligue 1,1.0,SUB,22.0,,2008-05-19,2015.0,18,France,,,,Right,2,2,1,Low/Medium,Normal (170-185),No,,,,67.0,38.0,60.0,57.0,73.0,69.0,62,20,71,67,39,51,52,49,73,63,63,70,62,60,72,64,74,69,68,52,72,72,30,43,46,,72,75,72,13,5,12,15,8,,49,49,49,55,51,51,51,55,52,52,52,59,60,60,60,59,67,67,67,67,67,69,71,71,71,69,13,CB
107320,https://sofifa.com/player/107320/johan-audel/150002,15.0,2.0,2014-09-18,J. Audel,Johan Audel,"LM, LW, ST",67,67,600000.0,9000.0,30,1983-12-12,180,75,71.0,Nantes,16.0,Ligue 1,1.0,SUB,21.0,,2013-09-02,2016.0,18,France,,,,Left,3,3,2,Medium/Low,Lean (170-185),No,,,Injury Prone,68.0,63.0,68.0,65.0,32.0,58.0,72,62,52,66,63,62,68,57,63,66,67,69,68,72,67,67,60,47,62,60,59,46,71,75,54,,25,25,24,7,8,15,10,5,,64,64,64,68-1,66,66,66,68-1,68-1,68-1,68-1,67,62,62,62,67,51,54,54,54,51,47,44,44,44,47,12,LM
111163,https://sofifa.com/player/111163/steeve-elana/150002,15.0,2.0,2014-09-18,S. Elana,Steeve Elana,GK,74,74,2600000.0,30000.0,33,1980-07-11,187,85,65.0,Lille,16.0,Ligue 1,1.0,SUB,16.0,,2012-07-01,2018.0,18,France,,,,Right,3,1,1,Medium/Medium,Normal (185+),Yes,,,,,,,,,,25,25,25,36,25,25,25,25,27,24,36,38,38,73,43,25,57,20,48,25,27,21,25,25,25,,25,25,25,79,72,66,73,75,37.0,31,31,31,31,31,31,31,31,31,31,31,31,30,30,30,31,30,32,32,32,30,29,31,31,31,29,74,GK
111172,https://sofifa.com/player/111172/alexandre-alphonse/150002,15.0,2.0,2014-09-18,A. Alphonse,Alexandre Alphonse,ST,65,65,425000.0,6000.0,32,1982-06-17,176,76,378.0,Brest,17.0,Ligue 1,2.0,LS,12.0,,2012-01-24,2016.0,18,France,,,,Right,3,3,1,Medium/Medium,Normal (170-185),No,,,,74.0,64.0,61.0,69.0,27.0,63.0,59,65,53,66,66,67,61,59,50,69,76,72,78,67,80,67,79,66,64,56,54,24,66,61,68,,25,23,23,5,15,13,11,12,,65,65,65,66-1,65,65,65,66-1,66-1,66-1,66-1,65,57,57,57,65,49,50,50,50,49,45,42,42,42,45,14,ST
111477,https://sofifa.com/player/111477/fabien-audard/150002,15.0,2.0,2014-09-18,F. Audard,Fabien Audard,GK,69,69,450000.0,6000.0,36,1978-03-28,188,89,217.0,Lorient,16.0,Ligue 1,1.0,SUB,16.0,,2003-07-01,2015.0,18,France,,,,Left,2,1,2,Medium/Medium,Stocky (185+),No,,,"Injury Prone, Leadership, Puncher, One Club Player",,,,,,,25,25,25,31,25,25,25,25,32,32,21,32,41,63,44,36,40,32,81,25,37,22,25,25,25,,25,25,25,66,58,67,72,80,27.0,32,32,32,30,31,31,31,30,31,31,31,31,31,31,31,31,30,35,35,35,30,30,34,34,34,30,69,GK
112230,https://sofifa.com/player/112230/franck-beria/150002,15.0,2.0,2014-09-18,F. Béria,Franck Béria,RB,74,74,2300000.0,45000.0,31,1983-05-23,177,76,65.0,Lille,16.0,Ligue 1,1.0,LB,18.0,,2007-01-01,2018.0,18,France,,,,Right,3,2,2,Medium/Medium,Normal (170-185),Yes,,,"Injury Free, Team Player",71.0,56.0,71.0,69.0,73.0,78.0,73,49,75,74,33,65,58,54,71,74,72,70,71,73,73,68,82,78,77,63,77,72,67,69,60,,71,73,75,6,13,6,12,5,,64,64,64,70,67,67,67,70,69,69,69,71,71,71,71,71,73,73,73,73,73,74,74,74,74,74,13,RB
112253,https://sofifa.com/player/112253/jeremy-toulalan/150002,15.0,2.0,2014-09-18,J. Toulalan,Jérémy Toulalan,"CDM, CM",83,83,10500000.0,90000.0,30,1983-09-10,183,77,69.0,Monaco,16.0,Ligue 1,1.0,CDM,28.0,,2013-07-07,2015.0,18,France,,,,Right,3,2,3,Medium/High,Normal (170-185),Yes,,#Tactician ,Injury Prone,53.0,50.0,77.0,71.0,79.0,82.0,68,27,70,83,27,69,53,56,83,79,54,52,55,82,64,78,69,91,79,72,82,90,68,80,56,,68,88,75,12,6,15,5,7,,61+1,61+1,61+1,69+1,68+1,68+1,68+1,69+1,73+1,73+1,73+1,74+1,80+1,80+1,80+1,74+1,78+1,82+1,82+1,82+1,78+1,79+1,78+1,78+1,78+1,79+1,12+1,CDM
112352,https://sofifa.com/player/112352/remi-gomis/150002,15.0,2.0,2014-09-18,R. Gomis,Rémi Gomis,"CDM, CM",70,70,1100000.0,20000.0,30,1984-02-14,180,74,71.0,Nantes,16.0,Ligue 1,1.0,SUB,6.0,,2014-02-01,2016.0,136,Senegal,,,,Right,3,2,1,Medium/High,Lean (170-185),No,,,,57.0,58.0,60.0,61.0,69.0,80.0,52,52,66,67,47,59,37,54,64,66,62,53,46,69,69,72,67,81,83,64,76,76,48,62,48,,59,74,72,15,6,13,10,7,,60,60,60,58,61,61,61,58,61,61,61,61,66,66,66,61,66,70,70,70,66,69,71-1,71-1,71-1,69,13,CDM
112358,https://sofifa.com/player/112358/cedric-bockhorni/150002,15.0,2.0,2014-09-18,C. Bockhorni,Cédric Bockhorni,RB,60,60,160000.0,2000.0,30,1983-09-05,182,76,1815.0,Clermont,17.0,Ligue 1,2.0,RB,13.0,,2006-01-01,2021.0,18,France,,,,Right,3,2,1,Medium/Medium,Normal (170-185),No,,,,59.0,39.0,49.0,58.0,59.0,71.0,60,38,63,45,33,58,43,27,59,60,62,56,57,48,60,33,63,77,70,45,70,60,45,45,55,,59,57,60,7,10,8,7,9,,48,48,48,54,48,48,48,54,49,49,49,55,54,54,54,55,58,57,57,57,58,60,60,60,60,60,11,RB
116308,https://sofifa.com/player/116308/rod-fanni/150002,15.0,2.0,2014-09-18,R. Fanni,Rod Fanni,"RB, CB",74,74,2000000.0,60000.0,32,1981-12-06,186,78,219.0,Olympique de Marseille,16.0,Ligue 1,1.0,RCB,24.0,,2011-01-01,2015.0,18,France,,,,Right,3,2,3,High/Medium,Normal (185+),Yes,,,"Long Throw-in, Speed Dribbler (AI)",80.0,53.0,66.0,68.0,73.0,76.0,73,43,69,72,32,66,56,63,70,71,76,84,68,71,65,72,73,72,76,57,80,72,60,51,64,,75,73,73,15,11,7,15,14,,62+1,62+1,62+1,68+1,64+1,64+1,64+1,68+1,64+1,64+1,64+1,69+1,67+1,67+1,67+1,69+1,72+1,71+1,71+1,71+1,72+1,73+1,73+1,73+1,73+1,73+1,17+1,RB
116335,https://sofifa.com/player/116335/olivier-sorin/150002,15.0,2.0,2014-09-18,O. Sorin,Olivier Sorin,GK,67,67,525000.0,6000.0,33,1981-04-16,189,76,74.0,Rennes,16.0,Ligue 1,1.0,SUB,16.0,,2014-06-25,2016.0,18,France,,,,Right,3,1,2,Medium/Medium,Normal (185+),No,,,,,,,,,,25,25,25,25,25,25,25,25,25,23,32,57,38,57,48,25,71,44,62,25,25,21,25,25,25,,25,25,25,66,72,67,70,65,46.0,31,31,31,30,30,30,30,30,28,28,28,30,28,28,28,30,30,31,31,31,30,30,32,32,32,30,67,GK
116479,https://sofifa.com/player/116479/francois-pantxi-sirieix/150002,15.0,2.0,2014-09-18,F. Sirieix,François Pantxi Sirieix,"CM, CDM",65,65,300000.0,3000.0,33,1980-10-07,180,72,1809.0,Toulouse,16.0,Ligue 1,1.0,SUB,14.0,,2004-01-01,2015.0,18,France,,,,Right,3,2,1,Medium/High,Normal (170-185),No,,,"Leadership, One Club Player, Team Player",54.0,63.0,65.0,64.0,66.0,70.0,58,62,62,69,52,63,52,55,66,65,54,54,64,63,69,66,64,67,68,66,79,65,59,68,67,,68,65,64,9,8,8,15,13,,62,62,62,62,63,63,63,62,65,65,65,63,65,65,65,63,64,67-2,67-2,67-2,64,65,66-1,66-1,66-1,65,14,CM
117063,https://sofifa.com/player/117063/nicolas-douchez/150002,15.0,2.0,2014-09-18,N. Douchez,Nicolas Douchez,GK,74,74,2300000.0,45000.0,34,1980-04-22,186,81,73.0,Paris Saint Germain,16.0,Ligue 1,1.0,SUB,1.0,,2011-07-01,2015.0,18,France,,,,Right,3,1,2,Medium/Medium,Normal (185+),Yes,,,,,,,,,,25,25,25,32,25,25,25,25,36,23,39,44,32,72,41,31,68,32,61,25,43,22,25,25,25,,25,25,25,74,76,70,73,76,42.0,33,33,33,31,32,32,32,31,31,31,31,32,31,31,31,32,30,34,34,34,30,31,34,34,34,31,74,GK
120304,https://sofifa.com/player/120304/jean-ii-makoun/150002,15.0,2.0,2014-09-18,J. Makoun,Jean II Makoun,"CDM, CM",73,73,1500000.0,35000.0,31,1983-05-29,173,65,74.0,Rennes,16.0,Ligue 1,1.0,RES,15.0,,2013-03-31,2015.0,103,Cameroon,1395.0,SUB,11.0,Right,3,2,2,Medium/Medium,Normal (170-185),Yes,,,,65.0,55.0,71.0,68.0,67.0,70.0,55,51,71,79,59,63,62,41,73,74,64,66,61,74,81,61,85,78,66,55,64,77,72,81,50,,66,61,63,15,7,7,5,15,,64,64,64,66,66,66,66,66,71,71,71,70,73,73,73,70,68,73,73,73,68,69,68,68,68,69,14,CDM
120306,https://sofifa.com/player/120306/laurent-pionnier/150002,15.0,2.0,2014-09-18,L. Pionnier,Laurent Pionnier,GK,74,74,2800000.0,30000.0,32,1982-05-24,184,78,70.0,Montpellier,16.0,Ligue 1,1.0,SUB,1.0,,2002-01-01,2016.0,18,France,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,,,"One Club Player, Team Player",,,,,,,25,25,25,23,25,25,25,25,31,21,44,44,41,51,50,21,71,45,58,25,33,21,25,40,32,,25,25,25,81,73,71,78,69,44.0,30,30,30,30,29,29,29,30,30,30,30,31,30,30,30,31,29,32,32,32,29,29,31,31,31,29,74,GK
